dis_no,year,seq,glide,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,disaster_subsubtype,event_name,country,iso,region,continent,location,origin,associated_dis,associated_dis2,ofda_response,appeal,declaration,aid_contribution,dis_mag_value,dis_mag_scale,latitude,longitude,local_time,river_basin,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,no_injured,no_affected,no_homeless,total_affected,reconstruction_costs_000_us,reconstruction_costs_adjusted_000_us,insured_damages_000_us,insured_damages_adjusted_000_us,total_damages_000_us,total_damages_adjusted_000_us,cpi,adm_level,admin1_code,admin2_code,geo_locations,adm1_name,adm2_name,uf,nome_uf,codigo_municipio_completo,nome_municipio
2001-0723-BRA,2001,0723,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Jaguare, Rio Banal, Nova Venecia districts (Espirito Santo province), Minas Gerais province",Heavy rain,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,45210,Km2,NA,NA,NA,NA,2001,11,19,2001,11,23,12,NA,NA,5100,5100,NA,NA,NA,NA,NA,NA,65.345558714192,1;2,677,7183,"Minas Gerais (Adm1). Jaguare, Nova Venecia, Rio Bananal (Adm2).",Minas Gerais,Nova Venecia - Espirito Santo,31,Minas Gerais,3203908,Nova Venécia
2001-0723-BRA,2001,0723,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Jaguare, Rio Banal, Nova Venecia districts (Espirito Santo province), Minas Gerais province",Heavy rain,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,45210,Km2,NA,NA,NA,NA,2001,11,19,2001,11,23,12,NA,NA,5100,5100,NA,NA,NA,NA,NA,NA,65.345558714192,1;2,677,7190,"Minas Gerais (Adm1). Jaguare, Nova Venecia, Rio Bananal (Adm2).",Minas Gerais,Rio Bananal - Espirito Santo,31,Minas Gerais,3204351,Rio Bananal
2001-0544-BRA,2001,0544,NA,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,NA,Brazil,BRA,South America,Americas,"Santa Catarina, Rio Grande do Sul, Sao Paulo, Parana provinces",NA,NA,NA,NA,NA,Yes,NA,NA,Kph,NA,NA,NA,NA,2001,9,29,2001,10,4,13,NA,NA,3400,3400,NA,NA,NA,NA,NA,NA,65.345558714192,1,680,NA,"Parana, Rio Grande Do Sul, Santa Catarina, Sao Paulo (Adm1).",Parana,NA,41,Paraná,NA,NA
2001-0544-BRA,2001,0544,NA,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,NA,Brazil,BRA,South America,Americas,"Santa Catarina, Rio Grande do Sul, Sao Paulo, Parana provinces",NA,NA,NA,NA,NA,Yes,NA,NA,Kph,NA,NA,NA,NA,2001,9,29,2001,10,4,13,NA,NA,3400,3400,NA,NA,NA,NA,NA,NA,65.345558714192,1,685,NA,"Parana, Rio Grande Do Sul, Santa Catarina, Sao Paulo (Adm1).",Rio Grande Do Sul,NA,43,Rio Grande do Sul,NA,NA
2001-0544-BRA,2001,0544,NA,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,NA,Brazil,BRA,South America,Americas,"Santa Catarina, Rio Grande do Sul, Sao Paulo, Parana provinces",NA,NA,NA,NA,NA,Yes,NA,NA,Kph,NA,NA,NA,NA,2001,9,29,2001,10,4,13,NA,NA,3400,3400,NA,NA,NA,NA,NA,NA,65.345558714192,1,688,NA,"Parana, Rio Grande Do Sul, Santa Catarina, Sao Paulo (Adm1).",Santa Catarina,NA,42,Santa Catarina,NA,NA
2001-0544-BRA,2001,0544,NA,Natural,Meteorological,Storm,Convective storm,Lightning/Thunderstorms,NA,Brazil,BRA,South America,Americas,"Santa Catarina, Rio Grande do Sul, Sao Paulo, Parana provinces",NA,NA,NA,NA,NA,Yes,NA,NA,Kph,NA,NA,NA,NA,2001,9,29,2001,10,4,13,NA,NA,3400,3400,NA,NA,NA,NA,NA,NA,65.345558714192,1,689,NA,"Parana, Rio Grande Do Sul, Santa Catarina, Sao Paulo (Adm1).",Sao Paulo,NA,35,São Paulo,NA,NA
2001-0213-BRA,2001,0213,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,Cuiaba district (Mato Grosso province),Heavy rain,NA,NA,NA,NA,NA,NA,5180,Km2,NA,NA,NA,Cuiba,2001,4,25,2001,4,26,23,NA,NA,4000,4000,NA,NA,NA,NA,NA,NA,65.345558714192,2,NA,7779,Cuiaba (Adm2).,NA,Cuiaba - Mato Grosso,NA,NA,5103403,Cuiabá
2001-9394-BRA,2001,9394,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,Pernambuco province,NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2001,6,NA,2001,NA,NA,NA,NA,1000000,NA,1000000,NA,NA,NA,NA,NA,NA,65.345558714192,1,681,NA,Pernambuco (Adm1).,Pernambuco,NA,26,Pernambuco,NA,NA
2002-0082-BRA,2002,0082,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,Teofilo Otoni district (Minas Gerais province),Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,2250,Km2,NA,NA,NA,"Santo Antonio, Todos os Santos rivers",2002,2,3,2002,2,5,17,NA,NA,1500,1500,NA,NA,NA,NA,NA,NA,66.3819636999782,2,NA,8676,Teofilo Otoni (Adm2).,NA,Teofilo Otoni - Minas Gerais,NA,NA,3168606,Teófilo Otoni
2002-0403-BRA,2002,0403,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,Porto Alegre district (Rio Grande do Sul province),Heavy rain,Broken Dam/Burst bank,NA,NA,NA,NA,NA,18940,Km2,NA,NA,NA,Rio Cai and Rio Sao Sebastiao,2002,6,12,2002,6,19,NA,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,66.3819636999782,2,NA,10455,Porto Alegre (Adm2).,NA,Porto Alegre - Rio Grande Do Sul,NA,NA,4314902,Porto Alegre
2002-0824-BRA,2002,0824,NA,Natural,Hydrological,Landslide,Mudslide,NA,NA,Brazil,BRA,South America,Americas,"Angra Dos Reis district, Rio de Janeiro province",NA,Flood,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,12,9,2002,12,12,74,NA,NA,1500,1500,NA,NA,NA,NA,11000,16571,66.3819636999782,2,NA,9895,Angra Dos Reis (Adm2).,NA,Angra Dos Reis - Rio De Janeiro,NA,NA,3300100,Angra dos Reis
2002-0154-BRA,2002,0154,NA,Natural,Biological,Epidemic,Viral disease,NA,Dengue,Brazil,BRA,South America,Americas,Rio de Janeiro state,NA,NA,NA,NA,No,No,NA,NA,Vaccinated,NA,NA,NA,NA,2002,1,1,2002,4,25,57,NA,317730,NA,317730,NA,NA,NA,NA,NA,NA,66.3819636999782,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002-9605-BRA,2002,9605,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,"Minas Gerais, Paraiba, Rio Grande do Norte, Pernambuco, Piaui provinces",NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2002,9,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3819636999782,1,677,NA,"Minas Gerais, Paraiba, Pernambuco, Piaui, Rio Grande Do Norte (Adm1).",Minas Gerais,NA,31,Minas Gerais,NA,NA
2002-9605-BRA,2002,9605,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,"Minas Gerais, Paraiba, Rio Grande do Norte, Pernambuco, Piaui provinces",NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2002,9,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3819636999782,1,679,NA,"Minas Gerais, Paraiba, Pernambuco, Piaui, Rio Grande Do Norte (Adm1).",Paraiba,NA,25,Paraíba,NA,NA
2002-9605-BRA,2002,9605,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,"Minas Gerais, Paraiba, Rio Grande do Norte, Pernambuco, Piaui provinces",NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2002,9,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3819636999782,1,681,NA,"Minas Gerais, Paraiba, Pernambuco, Piaui, Rio Grande Do Norte (Adm1).",Pernambuco,NA,26,Pernambuco,NA,NA
2002-9605-BRA,2002,9605,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,"Minas Gerais, Paraiba, Rio Grande do Norte, Pernambuco, Piaui provinces",NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2002,9,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3819636999782,1,682,NA,"Minas Gerais, Paraiba, Pernambuco, Piaui, Rio Grande Do Norte (Adm1).",Piaui,NA,22,Piauí,NA,NA
2002-9605-BRA,2002,9605,NA,Natural,Climatological,Drought,Drought,NA,NA,Brazil,BRA,South America,Americas,"Minas Gerais, Paraiba, Rio Grande do Norte, Pernambuco, Piaui provinces",NA,NA,NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2002,9,NA,2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3819636999782,1,684,NA,"Minas Gerais, Paraiba, Pernambuco, Piaui, Rio Grande Do Norte (Adm1).",Rio Grande Do Norte,NA,24,Rio Grande do Norte,NA,NA
2002-0830-BRA,2002,0830,NA,Natural,Hydrological,Landslide,Mudslide,NA,NA,Brazil,BRA,South America,Americas,Teresopolis district (Rio de Janeiro province),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2002,12,21,2002,12,21,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,66.3819636999782,2,NA,9979,Teresopolis (Adm2).,NA,Teresopolis - Rio De Janeiro,NA,NA,3305802,Teresópolis
2003-0028-BRA,2003,0028,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Rio de Janeiro, Sao Paulo, Minas Gerais, Santa Catarina, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,Yes,NA,6740,Km2,NA,NA,NA,NA,2003,1,14,2003,1,24,54,101,NA,10410,10511,NA,NA,NA,NA,NA,NA,67.8888956921058,1,672,NA,"Espirito Santo, Minas Gerais, Rio De Janeiro, Santa Catarina, Sao Paulo (Adm1).",Espirito Santo,NA,32,Espírito Santo,NA,NA
2003-0028-BRA,2003,0028,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Rio de Janeiro, Sao Paulo, Minas Gerais, Santa Catarina, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,Yes,NA,6740,Km2,NA,NA,NA,NA,2003,1,14,2003,1,24,54,101,NA,10410,10511,NA,NA,NA,NA,NA,NA,67.8888956921058,1,677,NA,"Espirito Santo, Minas Gerais, Rio De Janeiro, Santa Catarina, Sao Paulo (Adm1).",Minas Gerais,NA,31,Minas Gerais,NA,NA
2003-0028-BRA,2003,0028,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Rio de Janeiro, Sao Paulo, Minas Gerais, Santa Catarina, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,Yes,NA,6740,Km2,NA,NA,NA,NA,2003,1,14,2003,1,24,54,101,NA,10410,10511,NA,NA,NA,NA,NA,NA,67.8888956921058,1,683,NA,"Espirito Santo, Minas Gerais, Rio De Janeiro, Santa Catarina, Sao Paulo (Adm1).",Rio De Janeiro,NA,33,Rio de Janeiro,NA,NA
2003-0028-BRA,2003,0028,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Rio de Janeiro, Sao Paulo, Minas Gerais, Santa Catarina, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,Yes,NA,6740,Km2,NA,NA,NA,NA,2003,1,14,2003,1,24,54,101,NA,10410,10511,NA,NA,NA,NA,NA,NA,67.8888956921058,1,688,NA,"Espirito Santo, Minas Gerais, Rio De Janeiro, Santa Catarina, Sao Paulo (Adm1).",Santa Catarina,NA,42,Santa Catarina,NA,NA
2003-0028-BRA,2003,0028,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Rio de Janeiro, Sao Paulo, Minas Gerais, Santa Catarina, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,Yes,NA,6740,Km2,NA,NA,NA,NA,2003,1,14,2003,1,24,54,101,NA,10410,10511,NA,NA,NA,NA,NA,NA,67.8888956921058,1,689,NA,"Espirito Santo, Minas Gerais, Rio De Janeiro, Santa Catarina, Sao Paulo (Adm1).",Sao Paulo,NA,35,São Paulo,NA,NA
2003-0579-BRA,2003,0579,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Baia Branca municipality (Mage district), Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Seropedica, Sao Jao de Meriti, Duque de Caxias, Nova Iguacu districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2003,11,29,2003,11,29,7,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,67.8888956921058,2,NA,9919,"Duque De Caxias, Mage, Nova Iguacu, Rio De Janeiro, Sao Joao De Meriti, Seropedica (Adm2).",NA,Duque De Caxias - Rio De Janeiro,NA,NA,3301702,Duque de Caxias
2003-0579-BRA,2003,0579,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Baia Branca municipality (Mage district), Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Seropedica, Sao Jao de Meriti, Duque de Caxias, Nova Iguacu districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2003,11,29,2003,11,29,7,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,67.8888956921058,2,NA,9933,"Duque De Caxias, Mage, Nova Iguacu, Rio De Janeiro, Sao Joao De Meriti, Seropedica (Adm2).",NA,Mage - Rio De Janeiro,NA,NA,3302502,Magé
2003-0579-BRA,2003,0579,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Baia Branca municipality (Mage district), Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Seropedica, Sao Jao de Meriti, Duque de Caxias, Nova Iguacu districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2003,11,29,2003,11,29,7,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,67.8888956921058,2,NA,9943,"Duque De Caxias, Mage, Nova Iguacu, Rio De Janeiro, Sao Joao De Meriti, Seropedica (Adm2).",NA,Nova Iguacu - Rio De Janeiro,NA,NA,3303500,Nova Iguaçu
2003-0579-BRA,2003,0579,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Baia Branca municipality (Mage district), Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Seropedica, Sao Jao de Meriti, Duque de Caxias, Nova Iguacu districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2003,11,29,2003,11,29,7,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,67.8888956921058,2,NA,9961,"Duque De Caxias, Mage, Nova Iguacu, Rio De Janeiro, Sao Joao De Meriti, Seropedica (Adm2).",NA,Rio De Janeiro - Rio De Janeiro,NA,NA,3304557,Rio de Janeiro
2003-0579-BRA,2003,0579,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Baia Branca municipality (Mage district), Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Seropedica, Sao Jao de Meriti, Duque de Caxias, Nova Iguacu districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2003,11,29,2003,11,29,7,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,67.8888956921058,2,NA,9968,"Duque De Caxias, Mage, Nova Iguacu, Rio De Janeiro, Sao Joao De Meriti, Seropedica (Adm2).",NA,Sao Joao De Meriti - Rio De Janeiro,NA,NA,3305109,São João de Meriti
2003-0579-BRA,2003,0579,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Baia Branca municipality (Mage district), Rio de Janeiro city (Rio de Janeiro district, Rio de Janeiro province), Seropedica, Sao Jao de Meriti, Duque de Caxias, Nova Iguacu districts (Rio de Janeiro province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,Yes,NA,NA,Km2,NA,NA,NA,NA,2003,11,29,2003,11,29,7,NA,2000,NA,2000,NA,NA,NA,NA,NA,NA,67.8888956921058,2,NA,9975,"Duque De Caxias, Mage, Nova Iguacu, Rio De Janeiro, Sao Joao De Meriti, Seropedica (Adm2).",NA,Seropedica - Rio De Janeiro,NA,NA,3305554,Seropédica
2003-0673-BRA,2003,0673,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2003,12,NA,2004,2,19,161,470,NA,175000,175470,NA,NA,NA,NA,303000,446317,67.8888956921058,1,666,NA,"Alagoas, Bahia, Ceara, Espirito Santo, Minas Gerais, Pernambuco, Piaui, Rio De Janeiro, Sao Paulo, Sergipe (Adm1).",Alagoas,NA,27,Alagoas,NA,NA
2003-0673-BRA,2003,0673,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2003,12,NA,2004,2,19,161,470,NA,175000,175470,NA,NA,NA,NA,303000,446317,67.8888956921058,1,669,NA,"Alagoas, Bahia, Ceara, Espirito Santo, Minas Gerais, Pernambuco, Piaui, Rio De Janeiro, Sao Paulo, Sergipe (Adm1).",Bahia,NA,29,Bahia,NA,NA
2003-0673-BRA,2003,0673,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2003,12,NA,2004,2,19,161,470,NA,175000,175470,NA,NA,NA,NA,303000,446317,67.8888956921058,1,670,NA,"Alagoas, Bahia, Ceara, Espirito Santo, Minas Gerais, Pernambuco, Piaui, Rio De Janeiro, Sao Paulo, Sergipe (Adm1).",Ceara,NA,23,Ceará,NA,NA
2003-0673-BRA,2003,0673,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2003,12,NA,2004,2,19,161,470,NA,175000,175470,NA,NA,NA,NA,303000,446317,67.8888956921058,1,672,NA,"Alagoas, Bahia, Ceara, Espirito Santo, Minas Gerais, Pernambuco, Piaui, Rio De Janeiro, Sao Paulo, Sergipe (Adm1).",Espirito Santo,NA,32,Espírito Santo,NA,NA
2003-0673-BRA,2003,0673,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2003,12,NA,2004,2,19,161,470,NA,175000,175470,NA,NA,NA,NA,303000,446317,67.8888956921058,1,677,NA,"Alagoas, Bahia, Ceara, Espirito Santo, Minas Gerais, Pernambuco, Piaui, Rio De Janeiro, Sao Paulo, Sergipe (Adm1).",Minas Gerais,NA,31,Minas Gerais,NA,NA
2003-0673-BRA,2003,0673,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2003,12,NA,2004,2,19,161,470,NA,175000,175470,NA,NA,NA,NA,303000,446317,67.8888956921058,1,681,NA,"Alagoas, Bahia, Ceara, Espirito Santo, Minas Gerais, Pernambuco, Piaui, Rio De Janeiro, Sao Paulo, Sergipe (Adm1).",Pernambuco,NA,26,Pernambuco,NA,NA
2003-0673-BRA,2003,0673,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2003,12,NA,2004,2,19,161,470,NA,175000,175470,NA,NA,NA,NA,303000,446317,67.8888956921058,1,682,NA,"Alagoas, Bahia, Ceara, Espirito Santo, Minas Gerais, Pernambuco, Piaui, Rio De Janeiro, Sao Paulo, Sergipe (Adm1).",Piaui,NA,22,Piauí,NA,NA
2003-0673-BRA,2003,0673,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2003,12,NA,2004,2,19,161,470,NA,175000,175470,NA,NA,NA,NA,303000,446317,67.8888956921058,1,683,NA,"Alagoas, Bahia, Ceara, Espirito Santo, Minas Gerais, Pernambuco, Piaui, Rio De Janeiro, Sao Paulo, Sergipe (Adm1).",Rio De Janeiro,NA,33,Rio de Janeiro,NA,NA
2003-0673-BRA,2003,0673,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2003,12,NA,2004,2,19,161,470,NA,175000,175470,NA,NA,NA,NA,303000,446317,67.8888956921058,1,689,NA,"Alagoas, Bahia, Ceara, Espirito Santo, Minas Gerais, Pernambuco, Piaui, Rio De Janeiro, Sao Paulo, Sergipe (Adm1).",Sao Paulo,NA,35,São Paulo,NA,NA
2003-0673-BRA,2003,0673,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Permnambouc, Bahia, Piaui, Alagoas, Ceara, Sergipe, Sao Paulo, Minas Girais, Rio de Janeiro, Espirito Santo provinces",Heavy rains,"Slide (land, mud, snow, rock)",NA,Yes,NA,NA,NA,NA,Km2,NA,NA,NA,NA,2003,12,NA,2004,2,19,161,470,NA,175000,175470,NA,NA,NA,NA,303000,446317,67.8888956921058,1,690,NA,"Alagoas, Bahia, Ceara, Espirito Santo, Minas Gerais, Pernambuco, Piaui, Rio De Janeiro, Sao Paulo, Sergipe (Adm1).",Sergipe,NA,28,Sergipe,NA,NA
2003-0730-BRA,2003,0730,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Belo Horizonte, Contagem, Raposos, Riberao das Neves districts (Minas Gerais province), Rio de Janeiro, Petropolis, Paty de Alferes, Niteroi , Engenheiro Paulo De Frontin districts (Rio de Janeiro province), Sao Paulo city (Sao Paulo district, Sao Paulo province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,75950,Km2,NA,NA,NA,Piabanka,2003,1,11,2003,2,4,29,NA,16000,NA,16000,NA,NA,NA,NA,NA,NA,67.8888956921058,2,NA,7936,"Belo Horizonte, Contagem, Engenheiro Paulo De Frontin, Niteroi, Paty Do Alferes, Petropolis, Raposos, Ribeirao Das Neves, Rio De Janeiro, Sao Paulo (Adm2).",NA,Belo Horizonte - Minas Gerais,NA,NA,3106200,Belo Horizonte
2003-0730-BRA,2003,0730,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Belo Horizonte, Contagem, Raposos, Riberao das Neves districts (Minas Gerais province), Rio de Janeiro, Petropolis, Paty de Alferes, Niteroi , Engenheiro Paulo De Frontin districts (Rio de Janeiro province), Sao Paulo city (Sao Paulo district, Sao Paulo province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,75950,Km2,NA,NA,NA,Piabanka,2003,1,11,2003,2,4,29,NA,16000,NA,16000,NA,NA,NA,NA,NA,NA,67.8888956921058,2,NA,8076,"Belo Horizonte, Contagem, Engenheiro Paulo De Frontin, Niteroi, Paty Do Alferes, Petropolis, Raposos, Ribeirao Das Neves, Rio De Janeiro, Sao Paulo (Adm2).",NA,Contagem - Minas Gerais,NA,NA,3118601,Contagem
2003-0730-BRA,2003,0730,NA,Natural,Hydrological,Flood,Riverine flood,NA,NA,Brazil,BRA,South America,Americas,"Belo Horizonte, Contagem, Raposos, Riberao das Neves districts (Minas Gerais province), Rio de Janeiro, Petropolis, Paty de Alferes, Niteroi , Engenheiro Paulo De Frontin districts (Rio de Janeiro province), Sao Paulo city (Sao Paulo district, Sao Paulo province)",Heavy rains,"Slide (land, mud, snow, rock)",NA,NA,NA,NA,NA,75950,Km2,NA,NA,NA,Piabanka,2003,1,11,2003,2,4,29,NA,16000,NA,16000,NA,NA,NA,NA,NA,NA,67.8888956921058,2,NA,8498,"Belo Horizonte, Contagem, Engenheiro Paulo De Frontin, Niteroi, Paty Do Alferes, Petropolis, Raposos, Ribeirao Das Neves, Rio De Janeiro, Sao Paulo (Adm2).",NA,Raposos - Minas Gerais,NA,NA,3153905,Raposos
